19681.0	12379.0	3266.0	1336323	32679	9310	6	914081
10511.0	9341.0	13378.0	476584	11138	60	54609	81580
5296.0	7410.0	6408.0	95634	1243	70567	31976	390
19979.0	24600.0	8078.0	1335321	14094	5222	310	43674
23990.0	10423.0	6538.0	220092	390	319767	39	60
9044.0	3707.0	37859.0	70524	46717	7284	4899	10936
9539.0	6449.0	40854.0	101514	16091	3104	7665	291112
9937.0	7552.0	32929.0	1336922	60	183670	15547	60
23389.0	19805.0	11092.0	1338868	37196	5222	6478	27355
7552.0	32929.0	5196.0	1336922	183670	155473	6	7620
1389.0	2595.0	50682.0	895897	154703	20073	22561	154352
2595.0	50682.0	1440.0	895897	20073	225611	15435	60
15267.0	37247.0	8939.0	1335189	5222	26987	522	7620
19547.0	18074.0	9042.0	94961	4700	479982	2948	50547
50576.0	10280.0	11422.0	302894	25521	4202	229	46717
3707.0	37859.0	12036.0	70524	7284	48997	1093	48997
4571.0	9609.0	76705.0	1335312	76158	3104	2948	136475
20364.0	8434.0	34135.0	91671	5222	2964	3415	74619
9240.0	7636.0	73632.0	98879	64	280373	296	788
32497.0	3555.0	30689.0	272854	5222	122132	42	14642
11249.0	35856.0	40819.0	2946	160761	157076	1149	243373
9998.0	7124.0	31925.0	1349281	16091	165572	1609	86481
1535.0	5063.0	87511.0	392691	11492	37306	7733	25517
17416.0	7671.0	33646.0	477946	3104	9822	5750	35096
44845.0	2743.0	42443.0	1338319	11492	12968	8929	25918
14683.0	5642.0	70652.0	1337921	11492	105691	1149	33767
3791.0	40230.0	41030.0	571400	404828	127030	40482	110808
30965.0	4841.0	44724.0	48753	69432	305188	6943	305188
12724.0	35246.0	42866.0	1340232	229944	32163	982	182636
10850.0	15206.0	63019.0	160083	11138	60	56	60
9959.0	16238.0	68581.0	248695	5222	7491	762	5222
12301.0	42225.0	37607.0	1343783	28304	7284	3453	12964
9231.0	13303.0	67564.0	1341288	11138	60	70730	317833
33421.0	9545.0	43655.0	196442	10936	2964	5171	2964
11911.0	77550.0	3815.0	1313906	28017	3570	2751	562
12639.0	4583.0	76844.0	1339487	28017	3570	18447	562
12690.0	9153.0	78900.0	393237	34750	5222	1113	216617
5642.0	70652.0	6116.0	1337921	105691	11492	3376	6097
20282.0	9156.0	76334.0	58706	46717	60	6100	908072
21965.0	8773.0	74156.0	1335352	102614	67914	5260	22080
6509.0	4667.0	90758.0	1335381	651338	49970	2253	782
46515.0	9979.0	42878.0	1338509	1044949	7489	6	391017
9528.0	46559.0	9908.0	1347950	7284	4084	15470	70560
12379.0	3266.0	68847.0	1336323	9310	60	91408	357211
15654.0	6655.0	72891.0	51515	1259	121766	3445	774138
2743.0	42443.0	8639.0	1338319	12968	89291	2591	11492
77550.0	3815.0	4038.0	1313906	3570	27519	56	62733
4583.0	76844.0	4018.0	1339487	3570	184471	56	62733
41406.0	12130.0	42173.0	950539	78790	8449	10750	84899
2448.0	42603.0	11505.0	1348646	55331	7620	420	60
8344.0	84535.0	8561.0	1340192	59889	101852	716	774138
64108.0	32475.0	7959.0	940470	83010	2297	77413	2073
6712.0	11971.0	87920.0	1127501	13909	4084	1119	13909
15206.0	63019.0	9507.0	160083	60	562	6	11138
7407.0	29693.0	15368.0	1234949	5222	12004	3981	49915
10273.0	86890.0	9203.0	1335419	7620	84899	762	6361
9341.0	13378.0	69963.0	476584	60	546090	8158	562
8235.0	54498.0	50383.0	1335202	50722	10936	9711	10936
6349.0	12202.0	85574.0	988438	7620	60	74198	38137
