240.0	user_000709	Eurythmics	Gloria Estefan
260.0	user_000709	Gloria Estefan	Elton John
690.0	user_000391	Starsailor	The Rolling Stones
250.0	user_000709	Elton John	Scissor Sisters
260.0	user_000709	Scissor Sisters	Take 6
280.0	user_000709	Take 6	Enya
210.0	user_000709	Enya	Copeland
210.0	user_000709	Copeland	Barbra Streisand
1120.0	user_000391	The Rolling Stones	Stray Cats
277.0	user_000174	Tm Juke	Saint Etienne
423.0	user_000304	The Go! Team	Yeah Yeah Yeahs
240.0	user_000709	Barbra Streisand	Ace Of Base
190.0	user_000709	Ace Of Base	Amy Grant
499.0	user_000391	Stray Cats	Leonard Cohen
260.0	user_000709	Amy Grant	Love Inc.
253.0	user_000391	Leonard Cohen	Mazzy Star
260.0	user_000709	Love Inc.	Diana Ross & The Supremes
213.0	user_000391	Mazzy Star	Cat Power
199.0	user_000391	Cat Power	Söhne Mannheims
430.0	user_000709	Diana Ross & The Supremes	Eko
210.0	user_000709	Eko	Fjedur
452.0	user_000391	Söhne Mannheims	Snow Patrol
168.0	user_000391	Snow Patrol	Joan Jett
210.0	user_000709	Fjedur	Bauchklang
243.0	user_000391	Joan Jett	Green Day
250.0	user_000709	Bauchklang	The Nylons
196.0	user_000391	Green Day	Eels
137.0	user_000391	Eels	Fu Manchu
239.0	user_000298	Melanie C	Jamiroquai
470.0	user_000709	The Nylons	Simon & Garfunkel
181.0	user_000391	Fu Manchu	Bloc Party
170.0	user_000391	Bloc Party	Jet
211.0	user_000709	Simon & Garfunkel	The Air Command Band
274.0	user_000391	Jet	Ramones
4721.0	user_000142	Anton Maiden	Children Of Bodom
893.0	user_000298	Jamiroquai	Texas
473.0	user_000391	Ramones	Public Image Ltd.
272.0	user_000298	Texas	Santana
217.0	user_000391	Public Image Ltd.	Red Hot Chili Peppers
272.0	user_000298	Santana	Simon & Garfunkel
852.0	user_000142	Children Of Bodom	Dimmu Borgir
142.0	user_000298	Simon & Garfunkel	La Todo Mal Orquesta
5827.0	user_000871	Sui Generis	Oasis
399.0	user_000391	Red Hot Chili Peppers	John Frusciante
141.0	user_000298	La Todo Mal Orquesta	All Saints
341.0	user_000142	Dimmu Borgir	Children Of Bodom
282.0	user_000298	All Saints	Darren Hayes
384.0	user_000391	John Frusciante	Dinosaur Jr.
247.0	user_000961	Tracy Chapman	Citizen Cope
240.0	user_000142	Children Of Bodom	Satyricon
252.0	user_000298	Darren Hayes	Juanes
1931.0	user_000709	The Air Command Band	George Michael
274.0	user_000391	Dinosaur Jr.	Counting Crows
251.0	user_000142	Satyricon	Butthole Surfers
302.0	user_000961	Citizen Cope	Elvis Costello With Burt Bacharach
222.0	user_000298	Juanes	Dido
300.0	user_000709	George Michael	Eurythmics
260.0	user_000142	Butthole Surfers	Bloodhound Gang
242.0	user_000298	Dido	Inxs
270.0	user_000709	Eurythmics	Céline Dion
223.0	user_000298	Inxs	B2K
539.0	user_000961	Elvis Costello With Burt Bacharach	Anita Baker
270.0	user_000709	Céline Dion	Eurythmics
243.0	user_000298	B2K	Robbie Williams
253.0	user_000961	Anita Baker	Tina Turner
231.0	user_000709	Eurythmics	Modest Mouse
253.0	user_000298	Robbie Williams	Ismael Serrano
288.0	user_000961	Tina Turner	Duran Duran
211.0	user_000709	Modest Mouse	Enya
213.0	user_000298	Ismael Serrano	Tlc
263.0	user_000961	Duran Duran	Diana Ross & The Supremes
241.0	user_000709	Enya	Christina Aguilera
212.0	user_000298	Tlc	No Doubt
244.0	user_000961	Diana Ross & The Supremes	Donna Summer
241.0	user_000709	Christina Aguilera	Insideout
242.0	user_000298	No Doubt	Robbie Williams
214.0	user_000896	The Concretes	Mirah
241.0	user_000709	Insideout	Gary'S Gang
191.0	user_000298	Robbie Williams	La Todo Mal Orquesta
355.0	user_000961	Donna Summer	The Beatles
262.0	user_000896	Mirah	Blessed Light
244.0	user_000298	La Todo Mal Orquesta	Ismael Serrano
301.0	user_000709	Gary'S Gang	The Rankin Family
218.0	user_000896	Blessed Light	Camera Obscura
331.0	user_000961	The Beatles	Cyndi Lauper
210.0	user_000709	The Rankin Family	Rockapella
304.0	user_000298	Ismael Serrano	Bon Jovi
205.0	user_000961	Cyndi Lauper	Crowded House
220.0	user_000896	Camera Obscura	David Mead
180.0	user_000709	Rockapella	Olivia Newton-John
212.0	user_000298	Bon Jovi	Natalie Imbruglia
181.0	user_000961	Crowded House	Daniel Bedingfield
254.0	user_000896	David Mead	The Dears
233.0	user_000298	Natalie Imbruglia	Melanie C
231.0	user_000961	Daniel Bedingfield	Wendy & Lisa
340.0	user_000709	Olivia Newton-John	Jimmy Somerville
212.0	user_000298	Melanie C	Maroon 5
275.0	user_000961	Wendy & Lisa	The Brand New Heavies
472.0	user_000896	The Dears	The Owls
360.0	user_000709	Jimmy Somerville	Iron & Wine
192.0	user_000298	Maroon 5	Kelis
3114.0	user_000142	Bloodhound Gang	Dimmu Borgir
258.0	user_000961	The Brand New Heavies	Diana Ross
231.0	user_000709	Iron & Wine	Michael Zager Band
210.0	user_000142	Dimmu Borgir	Satyricon
274.0	user_000298	Kelis	Db Boulebard
387.0	user_000896	The Owls	Rogue Wave
248.0	user_000961	Diana Ross	The Pretenders
230.0	user_000709	Michael Zager Band	Pet Shop Boys
230.0	user_000142	Satyricon	Butthole Surfers
186.0	user_000896	Rogue Wave	A.C. Newman
263.0	user_000298	Db Boulebard	Ace Of Base
276.0	user_000961	The Pretenders	Anita Baker
230.0	user_000142	Butthole Surfers	Bloodhound Gang
306.0	user_000709	Pet Shop Boys	Amy Winehouse
232.0	user_000298	Ace Of Base	Creed
266.0	user_000961	Anita Baker	Laura Branigan
10264.0	user_000966	Michael Jackson	!!!
280.0	user_000142	Bloodhound Gang	Iron Maiden
257.0	user_000709	Amy Winehouse	Meco
561.0	user_000896	A.C. Newman	Stars
215.0	user_000709	Meco	The Air Command Band
254.0	user_000966	!!!	Fannypack
287.0	user_000896	Stars	Rilo Kiley
229.0	user_000966	Fannypack	Seelenluft
