240.0	260.0	user_000709	Eurythmics	Gloria Estefa	Elton John
260.0	250.0	user_000709	Gloria Estefan	Elton Joh	Scissor Sisters
250.0	260.0	user_000709	Elton John	Scissor Sister	Take 6
260.0	280.0	user_000709	Scissor Sisters	Take 	Enya
280.0	210.0	user_000709	Take 6	Eny	Copeland
210.0	210.0	user_000709	Enya	Copelan	Barbra Streisand
690.0	1120.0	user_000391	Starsailor	The Rolling Stone	Stray Cats
210.0	240.0	user_000709	Copeland	Barbra Streisan	Ace Of Base
240.0	190.0	user_000709	Barbra Streisand	Ace Of Bas	Amy Grant
1120.0	499.0	user_000391	The Rolling Stones	Stray Cat	Leonard Cohen
190.0	260.0	user_000709	Ace Of Base	Amy Gran	Love Inc.
499.0	253.0	user_000391	Stray Cats	Leonard Cohe	Mazzy Star
260.0	260.0	user_000709	Amy Grant	Love Inc	Diana Ross & The Supremes
253.0	213.0	user_000391	Leonard Cohen	Mazzy Sta	Cat Power
213.0	199.0	user_000391	Mazzy Star	Cat Powe	Söhne Mannheims
260.0	430.0	user_000709	Love Inc.	Diana Ross & The Supreme	Eko
430.0	210.0	user_000709	Diana Ross & The Supremes	Ek	Fjedur
199.0	452.0	user_000391	Cat Power	Söhne Mannheim	Snow Patrol
452.0	168.0	user_000391	Söhne Mannheims	Snow Patro	Joan Jett
210.0	210.0	user_000709	Eko	Fjedu	Bauchklang
168.0	243.0	user_000391	Snow Patrol	Joan Jet	Green Day
210.0	250.0	user_000709	Fjedur	Bauchklan	The Nylons
243.0	196.0	user_000391	Joan Jett	Green Da	Eels
196.0	137.0	user_000391	Green Day	Eel	Fu Manchu
250.0	470.0	user_000709	Bauchklang	The Nylon	Simon & Garfunkel
137.0	181.0	user_000391	Eels	Fu Manch	Bloc Party
181.0	170.0	user_000391	Fu Manchu	Bloc Part	Jet
470.0	211.0	user_000709	The Nylons	Simon & Garfunke	The Air Command Band
170.0	274.0	user_000391	Bloc Party	Je	Ramones
239.0	893.0	user_000298	Melanie C	Jamiroqua	Texas
274.0	473.0	user_000391	Jet	Ramone	Public Image Ltd.
893.0	272.0	user_000298	Jamiroquai	Texa	Santana
473.0	217.0	user_000391	Ramones	Public Image Ltd	Red Hot Chili Peppers
272.0	272.0	user_000298	Texas	Santan	Simon & Garfunkel
4721.0	852.0	user_000142	Anton Maiden	Children Of Bodo	Dimmu Borgir
272.0	142.0	user_000298	Santana	Simon & Garfunke	La Todo Mal Orquesta
217.0	399.0	user_000391	Public Image Ltd.	Red Hot Chili Pepper	John Frusciante
142.0	141.0	user_000298	Simon & Garfunkel	La Todo Mal Orquest	All Saints
852.0	341.0	user_000142	Children Of Bodom	Dimmu Borgi	Children Of Bodom
141.0	282.0	user_000298	La Todo Mal Orquesta	All Saint	Darren Hayes
399.0	384.0	user_000391	Red Hot Chili Peppers	John Frusciant	Dinosaur Jr.
341.0	240.0	user_000142	Dimmu Borgir	Children Of Bodo	Satyricon
282.0	252.0	user_000298	All Saints	Darren Haye	Juanes
