12.0	171168	214594678	214820231
48.0	389654	214826705	214587557
50.0	375257	214644307	214582935
55.0	210798	214581827	214699010
16.0	345618	214687685	214705119
16.0	288523	214632380	214836073
31.0	210798	214699010	214686937
108.0	389654	214587557	214826705
47.0	159229	214517880	214830444
129.0	33388	214544780	214556561
97.0	288523	214836073	214632380
50.0	5182	214821026	214821028
193.0	351646	214717005	214716926
85.0	416919	214710787	214709546
48.0	159229	214830444	214531612
13.0	416919	214709546	214706197
153.0	375257	214582935	214652885
57.0	185089	214601233	214819376
29.0	159229	214531612	214820231
43.0	5182	214821028	214706432
52.0	472167	214700990	214700992
67.0	484663	214532072	214826810
132.0	200947	214691587	214712278
34.0	30213	214832557	214832559
14.0	159229	214820231	214820261
14.0	308039	214835655	214835694
34.0	31646	214826801	214819385
106.0	307164	214672963	214826801
68.0	416919	214706197	214706195
41.0	30213	214832559	214832557
19.0	484834	214716930	214716935
195.0	448834	214820942	214827030
96.0	375257	214652885	214652882
89.0	14611	214585644	214561496
226.0	109356	214586857	214829737
95.0	185089	214819376	214716667
76.0	159229	214820261	214717007
101.0	464413	214716935	214716982
108.0	5182	214706432	214819550
319.0	164903	214716935	214838366
27.0	306109	214554510	214577732
47.0	109356	214829737	214705747
203.0	33388	214556561	214697741
271.0	210798	214686937	214581819
33.0	5182	214819550	214821017
177.0	190026	214706432	214577732
99.0	307164	214826801	214585395
120.0	308039	214835694	214836223
19.0	5182	214821017	214821390
32.0	84519	214716836	214714678
22.0	307164	214585395	214826801
47.0	306109	214577732	214554510
4.0	94341	214826955	214826606
27.0	308039	214836223	214836227
106.0	375257	214652882	214657595
217.0	240599	214711297	214539039
63.0	377297	214826715	214826606
62.0	210798	214581819	214581821
90.0	79777	214544325	214530952
35.0	84519	214714678	214716836
137.0	448834	214827030	214511465
286.0	23422	214821371	214839909
25.0	375257	214657595	214652882
305.0	446691	214826608	214826700
15.0	448834	214511465	214511488
78.0	190026	214577732	214821028
22.0	84519	214716836	214644617
39.0	308039	214836227	214836202
27.0	159998	214532070	214826803
39.0	377297	214826606	214826623
94.0	466654	214584907	214820227
5.0	466654	214820227	214584907
71.0	307164	214826801	214826702
318.0	442037	214821037	214839313
20.0	448834	214511488	214555873
50.0	79777	214530952	214544327
