55.0	31.0	210798	214581827	21469901	214686937
48.0	108.0	389654	214826705	21458755	214826705
16.0	97.0	288523	214632380	21483607	214632380
47.0	48.0	159229	214517880	21483044	214531612
85.0	13.0	416919	214710787	21470954	214706197
50.0	153.0	375257	214644307	21458293	214652885
48.0	29.0	159229	214830444	21453161	214820231
50.0	43.0	5182	214821026	21482102	214706432
29.0	14.0	159229	214531612	21482023	214820261
13.0	68.0	416919	214709546	21470619	214706195
34.0	41.0	30213	214832557	21483255	214832557
153.0	96.0	375257	214582935	21465288	214652882
57.0	95.0	185089	214601233	21481937	214716667
14.0	76.0	159229	214820231	21482026	214717007
43.0	108.0	5182	214821028	21470643	214819550
226.0	47.0	109356	214586857	21482973	214705747
129.0	203.0	33388	214544780	21455656	214697741
31.0	271.0	210798	214699010	21468693	214581819
108.0	33.0	5182	214706432	21481955	214821017
106.0	99.0	307164	214672963	21482680	214585395
14.0	120.0	308039	214835655	21483569	214836223
33.0	19.0	5182	214819550	21482101	214821390
99.0	22.0	307164	214826801	21458539	214826801
27.0	47.0	306109	214554510	21457773	214554510
120.0	27.0	308039	214835694	21483622	214836227
96.0	106.0	375257	214652885	21465288	214657595
271.0	62.0	210798	214686937	21458181	214581821
32.0	35.0	84519	214716836	21471467	214716836
195.0	137.0	448834	214820942	21482703	214511465
106.0	25.0	375257	214652882	21465759	214652882
137.0	15.0	448834	214827030	21451146	214511488
177.0	78.0	190026	214706432	21457773	214821028
35.0	22.0	84519	214714678	21471683	214644617
27.0	39.0	308039	214836223	21483622	214836202
63.0	39.0	377297	214826715	21482660	214826623
94.0	5.0	466654	214584907	21482022	214584907
22.0	71.0	307164	214585395	21482680	214826702
15.0	20.0	448834	214511465	21451148	214555873
90.0	50.0	79777	214544325	21453095	214544327
25.0	45.0	375257	214657595	21465288	214657595
39.0	38.0	308039	214836227	21483620	214836232
286.0	62.0	23422	214821371	21483990	214530572
108.0	351.0	389654	214587557	21482670	214826803
22.0	58.0	84519	214716836	21464461	214714678
45.0	26.0	375257	214652882	21465759	214652882
95.0	195.0	185089	214819376	21471666	214819430
47.0	160.0	109356	214829737	21470574	214601049
26.0	13.0	375257	214657595	21465288	214582935
58.0	18.0	84519	214644617	21471467	214716740
38.0	47.0	308039	214836202	21483623	214836204
319.0	198.0	164903	214716935	21483836	214820942
13.0	18.0	375257	214652882	21458293	214652882
76.0	236.0	159229	214820261	21471700	214826810
160.0	41.0	109356	214705747	21460104	214591374
62.0	140.0	210798	214581819	21458182	214515825
50.0	94.0	79777	214530952	21454432	214544325
47.0	36.0	308039	214836232	21483620	214836219
18.0	49.0	84519	214714678	21471674	214714678
236.0	25.0	159229	214717007	21482681	214826705
18.0	42.0	375257	214582935	21465288	214652885
41.0	24.0	109356	214601049	21459137	214591205
203.0	224.0	33388	214556561	21469774	214575103
66.0	30.0	309687	214716658	21482940	214829398
140.0	27.0	210798	214581821	21451582	214581821
351.0	92.0	389654	214826705	21482680	214826705
162.0	69.0	44808	214821028	21482103	214821028
217.0	199.0	240599	214711297	21453903	214557755
29.0	7.0	396124	214717839	21464473	214644729
24.0	34.0	109356	214591374	21459120	214509000
7.0	6.0	396124	214644731	21464472	214644731
30.0	38.0	309687	214829405	21482939	214829400
6.0	18.0	396124	214644729	21464473	214838520
27.0	55.0	210798	214515825	21458182	214686932
275.0	64.0	468598	214586983	21459147	214716935
20.0	195.0	448834	214511488	21455587	214537867
32.0	25.0	48437	214717007	21471692	214554358
5.0	206.0	466654	214820227	21458490	214820345
195.0	27.0	448834	214555873	21453786	214738449
94.0	129.0	79777	214544327	21454432	214544327
195.0	190.0	185089	214716667	21481943	214819762
18.0	64.0	396124	214644731	21483852	214687899
92.0	63.0	26577	214587384	21482137	214821373
38.0	92.0	309687	214829398	21482940	214829405
34.0	107.0	109356	214591205	21450900	214543700
129.0	32.0	79777	214544325	21454432	214544325
64.0	42.0	396124	214838520	21468789	214829735
92.0	40.0	309687	214829400	21482940	214838263
55.0	114.0	210798	214581821	21468693	214581821
199.0	159.0	240599	214539039	21455775	214601452
63.0	75.0	26577	214821377	21482137	214821377
114.0	23.0	210798	214686932	21458182	214581838
87.0	144.0	121846	214826955	21471692	214706441
198.0	257.0	164903	214838366	21482094	214704180
23.0	20.0	210798	214581821	21458183	214581890
98.0	52.0	274958	214541355	21464113	214587399
207.0	53.0	159602	214826968	21454888	214542452
144.0	35.0	121846	214716924	21470644	214706171
53.0	33.0	182841	214820218	21454760	214820218
166.0	319.0	270491	214677553	21460181	214531612
206.0	163.0	466654	214584907	21482034	214820812
35.0	15.0	121846	214706441	21470617	214706441
20.0	33.0	210798	214581838	21458189	214574137
159.0	67.0	240599	214557755	21460145	214712323
319.0	21.0	270491	214601812	21453161	214602386
