260.0	281.0	220.0	251.0	1045745	w-inds.	Yuki Kaida	Nujabes	岡崎律�	楊千嬅
281.0	220.0	251.0	270.0	1045745	Yuki Kaida	Nujabes	岡崎律子	楊千�	w-inds.
220.0	251.0	270.0	300.0	1045745	Nujabes	岡崎律子	楊千嬅	w-inds	Naoto Fuga & Masayuki Okazaki
251.0	270.0	300.0	239.0	1045745	岡崎律子	楊千嬅	w-inds.	Naoto Fuga & Masayuki Okazak	ALI PROJECT
270.0	300.0	239.0	180.0	1045745	楊千嬅	w-inds.	Naoto Fuga & Masayuki Okazaki	ALI PROJEC	Uran
300.0	239.0	180.0	230.0	1045745	w-inds.	Naoto Fuga & Masayuki Okazaki	ALI PROJECT	Ura	Kathy Shower & Yoko Ueno
239.0	180.0	230.0	305.0	1045745	Naoto Fuga & Masayuki Okazaki	ALI PROJECT	Uran	Kathy Shower & Yoko Uen	T.M.Revolution
180.0	230.0	305.0	280.0	1045745	ALI PROJECT	Uran	Kathy Shower & Yoko Ueno	T.M.Revolutio	光田康典
230.0	305.0	280.0	321.0	1045745	Uran	Kathy Shower & Yoko Ueno	T.M.Revolution	光田康�	Heartsdales
305.0	280.0	321.0	290.0	1045745	Kathy Shower & Yoko Ueno	T.M.Revolution	光田康典	Heartsdale	The Seeker
280.0	321.0	290.0	291.0	1045745	T.M.Revolution	光田康典	Heartsdales	The Seeke	The Stripes
321.0	290.0	291.0	310.0	1045745	光田康典	Heartsdales	The Seeker	The Stripe	w-inds.
290.0	291.0	310.0	280.0	1045745	Heartsdales	The Seeker	The Stripes	w-inds	杏子
291.0	310.0	280.0	261.0	1045745	The Seeker	The Stripes	w-inds.	杏�	w-inds.
310.0	331.0	240.0	240.0	2146750	Nine Inch Nails	Deadsy	Earshot	KMFD	Gjallarhorn
310.0	280.0	261.0	380.0	1045745	The Stripes	w-inds.	杏子	w-inds	m-flo
331.0	240.0	240.0	280.0	2146750	Deadsy	Earshot	KMFDM	Gjallarhor	Nine Inch Nails
240.0	240.0	280.0	1030.0	2146750	Earshot	KMFDM	Gjallarhorn	Nine Inch Nail	Tool
240.0	280.0	1030.0	160.0	2146750	KMFDM	Gjallarhorn	Nine Inch Nails	Too	Without
280.0	261.0	380.0	1255.0	1045745	w-inds.	杏子	w-inds.	m-fl	Kathy Shower
261.0	380.0	1255.0	131.0	1045745	杏子	w-inds.	m-flo	Kathy Showe	MISIA
280.0	1030.0	160.0	600.0	2146750	Gjallarhorn	Nine Inch Nails	Tool	Withou	Zen Café
1030.0	160.0	600.0	330.0	2146750	Nine Inch Nails	Tool	Without	Zen Caf�	Dj Scot project & Angy dee
380.0	1255.0	131.0	815.0	1045745	w-inds.	m-flo	Kathy Shower	MISI	m-flo
160.0	600.0	330.0	330.0	2146750	Tool	Without	Zen Café	Dj Scot project & Angy de	Blindside
1255.0	131.0	815.0	361.0	1045745	m-flo	Kathy Shower	MISIA	m-fl	K. ft. Verbal
131.0	815.0	361.0	330.0	1045745	Kathy Shower	MISIA	m-flo	K. ft. Verba	名取香り
600.0	330.0	330.0	560.0	2146750	Without	Zen Café	Dj Scot project & Angy dee	Blindsid	Ministry
330.0	330.0	560.0	440.0	2146750	Zen Café	Dj Scot project & Angy dee	Blindside	Ministr	Nine Inch Nails
330.0	560.0	440.0	410.0	2146750	Dj Scot project & Angy dee	Blindside	Ministry	Nine Inch Nail	Skinny Puppy
815.0	361.0	330.0	1102.0	1045745	MISIA	m-flo	K. ft. Verbal	名取香�	Silva
273.0	233.0	6226.0	263.0	2145441	Pinback	Saosin	Pinback	Saosi	...And You Will Know Us by the Trail of Dead
560.0	440.0	410.0	330.0	2146750	Blindside	Ministry	Nine Inch Nails	Skinny Pupp	A Perfect Circle
233.0	6226.0	263.0	208.0	2145441	Saosin	Pinback	Saosin	...And You Will Know Us by the Trail of Dea	The Innocence Mission
361.0	330.0	1102.0	320.0	1045745	m-flo	K. ft. Verbal	名取香り	Silv	MISIA
6226.0	263.0	208.0	173.0	2145441	Pinback	Saosin	...And You Will Know Us by the Trail of Dead	The Innocence Missio	Calexico
440.0	410.0	330.0	300.0	2146750	Ministry	Nine Inch Nails	Skinny Puppy	A Perfect Circl	Tool
263.0	208.0	173.0	204.0	2145441	Saosin	...And You Will Know Us by the Trail of Dead	The Innocence Mission	Calexic	Lovage
330.0	1102.0	320.0	321.0	1045745	K. ft. Verbal	名取香り	Silva	MISI	名取香り
410.0	330.0	300.0	250.0	2146750	Nine Inch Nails	Skinny Puppy	A Perfect Circle	Too	The Escape Engine
208.0	173.0	204.0	236.0	2145441	...And You Will Know Us by the Trail of Dead	The Innocence Mission	Calexico	Lovag	Fey
1102.0	320.0	321.0	310.0	1045745	名取香り	Silva	MISIA	名取香�	GACKT
330.0	300.0	250.0	201.0	2146750	Skinny Puppy	A Perfect Circle	Tool	The Escape Engin	Kumikameli
173.0	204.0	236.0	233.0	2145441	The Innocence Mission	Calexico	Lovage	Fe	Rachael Yamagata
