873.0	1334952	47021	249045
4976.0	1048956	47021	46717
31248.0	1334911	47021	55417
4673.0	1334965	142566	8595
31747.0	1334921	47021	17487
6664.0	1334968	142566	22926
505.0	812642	11492	17720
1535.0	392691	11492	37306
10286.0	257840	47021	17487
2561.0	1335259	12968	10936
10412.0	1335057	49807	36284
3961.0	23193	103900	307922
3221.0	770908	60	420054
1960.0	1335296	431562	2297
6358.0	1335103	19756	19773
13798.0	327259	47021	11492
4960.0	1335706	47021	46717
4651.0	1335816	158810	34538
4571.0	1335312	76158	3104
2580.0	419987	11492	55817
1190.0	1335765	4084	79198
10181.0	1335120	7324	2964
9651.0	125232	142566	64
2960.0	1157840	60	20073
5822.0	1335315	76158	3104
7588.0	1270911	10935	40949
9321.0	571864	83582	252652
11747.0	10921	2268	37196
29861.0	905998	47021	11492
4081.0	1335778	9862	8732
6774.0	610861	21692	66058
2023.0	865786	121766	12968
2774.0	1336344	66868	119428
4489.0	335293	4202	15889
2397.0	1336264	119428	2268
446.0	1336539	11195	164515
3999.0	1115908	23558	334765
8235.0	1335202	50722	10936
3705.0	86725	11492	46257
2781.0	2912	2421	6383
13497.0	1335111	33707	93468
2823.0	1336158	519954	131513
9100.0	351767	19756	19775
5516.0	75309	32679	195708
4606.0	146854	154703	20073
3349.0	1336740	10065	121695
778.0	1337227	11492	540290
2191.0	277954	249697	77335
5526.0	348495	48997	63233
12578.0	1335100	638536	523
9222.0	1337434	390	562
6391.0	21251	78593	17202
8713.0	1335338	56294	149117
9326.0	370750	142566	28304
6528.0	975588	107502	60
5811.0	208374	12968	34538
11066.0	1335456	307648	777638
6828.0	1335263	12968	34538
10978.0	1335455	307648	777638
10531.0	439091	192822	8595
2066.0	1337084	10936	192079
8296.0	472571	154703	60
8559.0	1336622	158856	601619
3301.0	94120	9822	23557
12850.0	315186	47021	782
2829.0	1336836	28880	470
2996.0	32858	5222	18277
13168.0	1335488	49881	62787
8079.0	1336028	32163	2297
9430.0	1336761	50773	125417
3049.0	1336295	323523	24288
2262.0	57676	5834	63081
5147.0	1335207	5834	10107
13685.0	732229	47021	2297
7331.0	1336325	32679	2297
6554.0	89072	23558	7284
