240.0	260.0	250.0	user_000709	Eurythmics	Gloria Estefan	Elton Joh	Scissor Sisters
260.0	250.0	260.0	user_000709	Gloria Estefan	Elton John	Scissor Sister	Take 6
250.0	260.0	280.0	user_000709	Elton John	Scissor Sisters	Take 	Enya
260.0	280.0	210.0	user_000709	Scissor Sisters	Take 6	Eny	Copeland
280.0	210.0	210.0	user_000709	Take 6	Enya	Copelan	Barbra Streisand
210.0	210.0	240.0	user_000709	Enya	Copeland	Barbra Streisan	Ace Of Base
210.0	240.0	190.0	user_000709	Copeland	Barbra Streisand	Ace Of Bas	Amy Grant
690.0	1120.0	499.0	user_000391	Starsailor	The Rolling Stones	Stray Cat	Leonard Cohen
240.0	190.0	260.0	user_000709	Barbra Streisand	Ace Of Base	Amy Gran	Love Inc.
1120.0	499.0	253.0	user_000391	The Rolling Stones	Stray Cats	Leonard Cohe	Mazzy Star
190.0	260.0	260.0	user_000709	Ace Of Base	Amy Grant	Love Inc	Diana Ross & The Supremes
499.0	253.0	213.0	user_000391	Stray Cats	Leonard Cohen	Mazzy Sta	Cat Power
253.0	213.0	199.0	user_000391	Leonard Cohen	Mazzy Star	Cat Powe	Söhne Mannheims
260.0	260.0	430.0	user_000709	Amy Grant	Love Inc.	Diana Ross & The Supreme	Eko
260.0	430.0	210.0	user_000709	Love Inc.	Diana Ross & The Supremes	Ek	Fjedur
213.0	199.0	452.0	user_000391	Mazzy Star	Cat Power	Söhne Mannheim	Snow Patrol
199.0	452.0	168.0	user_000391	Cat Power	Söhne Mannheims	Snow Patro	Joan Jett
430.0	210.0	210.0	user_000709	Diana Ross & The Supremes	Eko	Fjedu	Bauchklang
452.0	168.0	243.0	user_000391	Söhne Mannheims	Snow Patrol	Joan Jet	Green Day
210.0	210.0	250.0	user_000709	Eko	Fjedur	Bauchklan	The Nylons
168.0	243.0	196.0	user_000391	Snow Patrol	Joan Jett	Green Da	Eels
243.0	196.0	137.0	user_000391	Joan Jett	Green Day	Eel	Fu Manchu
210.0	250.0	470.0	user_000709	Fjedur	Bauchklang	The Nylon	Simon & Garfunkel
196.0	137.0	181.0	user_000391	Green Day	Eels	Fu Manch	Bloc Party
137.0	181.0	170.0	user_000391	Eels	Fu Manchu	Bloc Part	Jet
250.0	470.0	211.0	user_000709	Bauchklang	The Nylons	Simon & Garfunke	The Air Command Band
181.0	170.0	274.0	user_000391	Fu Manchu	Bloc Party	Je	Ramones
170.0	274.0	473.0	user_000391	Bloc Party	Jet	Ramone	Public Image Ltd.
239.0	893.0	272.0	user_000298	Melanie C	Jamiroquai	Texa	Santana
274.0	473.0	217.0	user_000391	Jet	Ramones	Public Image Ltd	Red Hot Chili Peppers
893.0	272.0	272.0	user_000298	Jamiroquai	Texas	Santan	Simon & Garfunkel
272.0	272.0	142.0	user_000298	Texas	Santana	Simon & Garfunke	La Todo Mal Orquesta
473.0	217.0	399.0	user_000391	Ramones	Public Image Ltd.	Red Hot Chili Pepper	John Frusciante
272.0	142.0	141.0	user_000298	Santana	Simon & Garfunkel	La Todo Mal Orquest	All Saints
4721.0	852.0	341.0	user_000142	Anton Maiden	Children Of Bodom	Dimmu Borgi	Children Of Bodom
142.0	141.0	282.0	user_000298	Simon & Garfunkel	La Todo Mal Orquesta	All Saint	Darren Hayes
217.0	399.0	384.0	user_000391	Public Image Ltd.	Red Hot Chili Peppers	John Frusciant	Dinosaur Jr.
852.0	341.0	240.0	user_000142	Children Of Bodom	Dimmu Borgir	Children Of Bodo	Satyricon
141.0	282.0	252.0	user_000298	La Todo Mal Orquesta	All Saints	Darren Haye	Juanes
470.0	211.0	1931.0	user_000709	The Nylons	Simon & Garfunkel	The Air Command Ban	George Michael
399.0	384.0	274.0	user_000391	Red Hot Chili Peppers	John Frusciante	Dinosaur Jr	Counting Crows
341.0	240.0	251.0	user_000142	Dimmu Borgir	Children Of Bodom	Satyrico	Butthole Surfers
282.0	252.0	222.0	user_000298	All Saints	Darren Hayes	Juane	Dido
211.0	1931.0	300.0	user_000709	Simon & Garfunkel	The Air Command Band	George Michae	Eurythmics
240.0	251.0	260.0	user_000142	Children Of Bodom	Satyricon	Butthole Surfer	Bloodhound Gang
252.0	222.0	242.0	user_000298	Darren Hayes	Juanes	Did	Inxs
1931.0	300.0	270.0	user_000709	The Air Command Band	George Michael	Eurythmic	Céline Dion
222.0	242.0	223.0	user_000298	Juanes	Dido	Inx	B2K
247.0	302.0	539.0	user_000961	Tracy Chapman	Citizen Cope	Elvis Costello With Burt Bacharac	Anita Baker
300.0	270.0	270.0	user_000709	George Michael	Eurythmics	Céline Dio	Eurythmics
242.0	223.0	243.0	user_000298	Dido	Inxs	B2	Robbie Williams
302.0	539.0	253.0	user_000961	Citizen Cope	Elvis Costello With Burt Bacharach	Anita Bake	Tina Turner
270.0	270.0	231.0	user_000709	Eurythmics	Céline Dion	Eurythmic	Modest Mouse
223.0	243.0	253.0	user_000298	Inxs	B2K	Robbie William	Ismael Serrano
539.0	253.0	288.0	user_000961	Elvis Costello With Burt Bacharach	Anita Baker	Tina Turne	Duran Duran
270.0	231.0	211.0	user_000709	Céline Dion	Eurythmics	Modest Mous	Enya
243.0	253.0	213.0	user_000298	B2K	Robbie Williams	Ismael Serran	Tlc
253.0	288.0	263.0	user_000961	Anita Baker	Tina Turner	Duran Dura	Diana Ross & The Supremes
231.0	211.0	241.0	user_000709	Eurythmics	Modest Mouse	Eny	Christina Aguilera
