47.0	48.0	29.0	14.0	76.0	159229	214517880	214830444	214531612	214820231	21482026	214717007
50.0	43.0	108.0	33.0	19.0	5182	214821026	214821028	214706432	214819550	21482101	214821390
50.0	153.0	96.0	106.0	25.0	375257	214644307	214582935	214652885	214652882	21465759	214652882
153.0	96.0	106.0	25.0	45.0	375257	214582935	214652885	214652882	214657595	21465288	214657595
14.0	120.0	27.0	39.0	38.0	308039	214835655	214835694	214836223	214836227	21483620	214836232
96.0	106.0	25.0	45.0	26.0	375257	214652885	214652882	214657595	214652882	21465759	214652882
106.0	25.0	45.0	26.0	13.0	375257	214652882	214657595	214652882	214657595	21465288	214582935
32.0	35.0	22.0	58.0	18.0	84519	214716836	214714678	214716836	214644617	21471467	214716740
120.0	27.0	39.0	38.0	47.0	308039	214835694	214836223	214836227	214836202	21483623	214836204
25.0	45.0	26.0	13.0	18.0	375257	214657595	214652882	214657595	214652882	21458293	214652882
48.0	29.0	14.0	76.0	236.0	159229	214830444	214531612	214820231	214820261	21471700	214826810
55.0	31.0	271.0	62.0	140.0	210798	214581827	214699010	214686937	214581819	21458182	214515825
27.0	39.0	38.0	47.0	36.0	308039	214836223	214836227	214836202	214836232	21483620	214836219
35.0	22.0	58.0	18.0	49.0	84519	214714678	214716836	214644617	214714678	21471674	214714678
29.0	14.0	76.0	236.0	25.0	159229	214531612	214820231	214820261	214717007	21482681	214826705
45.0	26.0	13.0	18.0	42.0	375257	214652882	214657595	214652882	214582935	21465288	214652885
226.0	47.0	160.0	41.0	24.0	109356	214586857	214829737	214705747	214601049	21459137	214591205
31.0	271.0	62.0	140.0	27.0	210798	214699010	214686937	214581819	214581821	21451582	214581821
47.0	160.0	41.0	24.0	34.0	109356	214829737	214705747	214601049	214591374	21459120	214509000
271.0	62.0	140.0	27.0	55.0	210798	214686937	214581819	214581821	214515825	21458182	214686932
195.0	137.0	15.0	20.0	195.0	448834	214820942	214827030	214511465	214511488	21455587	214537867
137.0	15.0	20.0	195.0	27.0	448834	214827030	214511465	214511488	214555873	21453786	214738449
29.0	7.0	6.0	18.0	64.0	396124	214717839	214644731	214644729	214644731	21483852	214687899
160.0	41.0	24.0	34.0	107.0	109356	214705747	214601049	214591374	214591205	21450900	214543700
90.0	50.0	94.0	129.0	32.0	79777	214544325	214530952	214544327	214544325	21454432	214544325
7.0	6.0	18.0	64.0	42.0	396124	214644731	214644729	214644731	214838520	21468789	214829735
66.0	30.0	38.0	92.0	40.0	309687	214716658	214829405	214829398	214829400	21482940	214838263
